Frequency,EndTime
314,0:00
437,1:00
69,2:00
319,3:00
258,4:00
281,5:00
202,6:00
281,7:00
87,8:00
108,9:00
60,10:00
22,11:00
4,12:00
1,13:00
1,14:00
1,15:00
1,16:00
1,17:00
1,18:00
0,19:00
0,20:00
6,21:00
100,22:00
64,23:00
