Frequency,EndTime
337,0:00
477,1:00
86,2:00
376,3:00
311,4:00
315,5:00
232,6:00
318,7:00
137,8:00
136,9:00
48,10:00
26,11:00
3,12:00
1,13:00
1,14:00
1,15:00
1,16:00
1,17:00
1,18:00
1,19:00
0,20:00
9,21:00
114,22:00
98,23:00
